ImageNet_Synset,Dog_breed
n02110627,Affenpinscher
n02088094,Afghan hound
n02116738,African hunting dog
n02096051,Airedale
n02093428,American Staffordshire terrier
n02107908,Appenzeller
n02096294,Australian terrier
n02110806,Basenji
n02088238,Basset
n02088364,Beagle
n02093647,Bedlington terrier
n02107683,Bernese mountain dog
n02089078,Black-and-tan coonhound
n02086646,Blenheim spaniel
n02088466,Bloodhound
n02088632,Bluetick
n02106166,Border collie
n02093754,Border terrier
n02090622,Borzoi
n02096585,Boston bull
n02106382,Bouvier des Flandres
n02108089,Boxer
n02112706,Brabancon griffon
n02105251,Briard
n02101388,Brittany spaniel
n02108422,Bull mastiff
n02096177,Cairn
n02113186,Cardigan
n02099849,Chesapeake Bay retriever
n02085620,Chihuahua
n02112137,Chow
n02101556,Clumber
n02102318,Cocker spaniel
n02106030,Collie
n02099429,Curly-coated retriever
n02096437,Dandie Dinmont
n02115913,Dhole
n02115641,Dingo
n02107142,Doberman
n02089973,English foxhound
n02100735,English setter
n02102040,English springer
n02108000,EntleBucher
n02109961,Eskimo dog
n02099267,Flat-coated retriever
n02108915,French bulldog
n02106662,German shepherd
n02100236,German short-haired pointer
n02097130,Giant schnauzer
n02099601,Golden retriever
n02101006,Gordon setter
n02109047,Great Dane
n02111500,Great Pyrenees
n02107574,Greater Swiss Mountain dog
n02105056,Groenendael
n02091244,Ibizan hound
n02100877,Irish setter
n02093991,Irish terrier
n02102973,Irish water spaniel
n02090721,Irish wolfhound
n02091032,Italian greyhound
n02085782,Japanese spaniel
n02112350,Keeshond
n02105412,Kelpie
n02093859,Kerry blue terrier
n02105505,Komondor
n02104029,Kuvasz
n02099712,Labrador retriever
n02095570,Lakeland terrier
n02111129,Leonberg
n02098413,Lhasa
n02110063,Malamute
n02105162,Malinois
n02085936,Maltese dog
n02113978,Mexican hairless
n02107312,Miniature pinscher
n02113712,Miniature poodle
n02097047,Miniature schnauzer
n02111277,Newfoundland
n02094114,Norfolk terrier
n02091467,Norwegian elkhound
n02094258,Norwich terrier
n02105641,Old English sheepdog
n02091635,Otterhound
n02086910,Papillon
n02086079,Pekinese
n02113023,Pembroke
n02112018,Pomeranian
n02110958,Pug
n02090379,Redbone
n02087394,Rhodesian ridgeback
n02106550,Rottweiler
n02109525,Saint Bernard
n02091831,Saluki
n02111889,Samoyed
n02104365,Schipperke
n02097298,Scotch terrier
n02092002,Scottish deerhound
n02095889,Sealyham terrier
n02105855,Shetland sheepdog
n02086240,Shih-Tzu
n02110185,Siberian husky
n02097658,Silky terrier
n02098105,Soft-coated wheaten terrier
n02093256,Staffordshire bullterrier
n02113799,Standard poodle
n02097209,Standard schnauzer
n02102480,Sussex spaniel
n02108551,Tibetan mastiff
n02097474,Tibetan terrier
n02113624,Toy poodle
n02087046,Toy terrier
n02100583,Vizsla
n02089867,Walker hound
n02092339,Weimaraner
n02102177,Welsh springer spaniel
n02098286,West Highland white terrier
n02091134,Whippet
n02095314,Wire-haired fox terrier
n02094433,Yorkshire terrier